,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
rate,107.0,110.0,94.0,0.3536977491961415,0.3440514469453376,0.5069124423963134,0.4930875576036866
rather,38.0,30.0,33.0,0.297029702970297,0.37623762376237624,0.4411764705882353,0.5588235294117647
ratio,57.0,33.0,40.0,0.25384615384615383,0.43846153846153846,0.36666666666666664,0.6333333333333333
rb,4.0,13.0,2.0,0.6842105263157895,0.21052631578947367,0.7647058823529411,0.23529411764705882
reach,19.0,21.0,20.0,0.35,0.31666666666666665,0.525,0.475
reaction,2.0,5.0,6.0,0.38461538461538464,0.15384615384615385,0.7142857142857143,0.2857142857142857
read,10.0,14.0,6.0,0.4666666666666667,0.3333333333333333,0.5833333333333334,0.4166666666666667
real,66.0,57.0,58.0,0.3149171270718232,0.36464088397790057,0.4634146341463415,0.5365853658536586
reason,26.0,34.0,24.0,0.40476190476190477,0.30952380952380953,0.5666666666666667,0.43333333333333335
rebalanc,6.0,13.0,4.0,0.5652173913043478,0.2608695652173913,0.6842105263157895,0.3157894736842105
rebound,11.0,13.0,8.0,0.40625,0.34375,0.5416666666666666,0.4583333333333333
receipt,2.0,8.0,8.0,0.4444444444444444,0.1111111111111111,0.8,0.2
receiv,4.0,4.0,4.0,0.3333333333333333,0.3333333333333333,0.5,0.5
recent,95.0,100.0,98.0,0.3412969283276451,0.3242320819112628,0.5128205128205128,0.48717948717948717
recess,5.0,13.0,4.0,0.5909090909090909,0.22727272727272727,0.7222222222222222,0.2777777777777778
reconcil,7.0,13.0,2.0,0.5909090909090909,0.3181818181818182,0.65,0.35
record,43.0,33.0,35.0,0.2972972972972973,0.38738738738738737,0.4342105263157895,0.5657894736842105
recov,28.0,25.0,24.0,0.3246753246753247,0.36363636363636365,0.4716981132075472,0.5283018867924528
recoveri,36.0,56.0,33.0,0.448,0.288,0.6086956521739131,0.391304347826087
reduc,45.0,42.0,49.0,0.3088235294117647,0.33088235294117646,0.4827586206896552,0.5172413793103449
reduct,42.0,32.0,53.0,0.25196850393700787,0.33070866141732286,0.43243243243243246,0.5675675675675675
referendum,10.0,4.0,15.0,0.13793103448275862,0.3448275862068966,0.2857142857142857,0.7142857142857143
reflect,89.0,84.0,83.0,0.328125,0.34765625,0.48554913294797686,0.5144508670520231
regard,17.0,12.0,11.0,0.3,0.425,0.41379310344827586,0.5862068965517241
region,64.0,57.0,15.0,0.41911764705882354,0.47058823529411764,0.47107438016528924,0.5289256198347108
regist,7.0,5.0,4.0,0.3125,0.4375,0.4166666666666667,0.5833333333333334
registr,37.0,32.0,20.0,0.3595505617977528,0.4157303370786517,0.463768115942029,0.5362318840579711
rel,69.0,61.0,71.0,0.3034825870646766,0.34328358208955223,0.46923076923076923,0.5307692307692308
relat,44.0,36.0,29.0,0.3302752293577982,0.4036697247706422,0.45,0.55
relationship,7.0,8.0,13.0,0.2857142857142857,0.25,0.5333333333333333,0.4666666666666667
