,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
agre,21.0,12.0,3.0,0.3333333333333333,0.5833333333333334,0.36363636363636365,0.6363636363636364
ahead,59.0,46.0,33.0,0.3333333333333333,0.427536231884058,0.4380952380952381,0.5619047619047619
airfar,9.0,4.0,5.0,0.2222222222222222,0.5,0.3076923076923077,0.6923076923076923
albeit,10.0,3.0,4.0,0.17647058823529413,0.5882352941176471,0.23076923076923078,0.7692307692307693
alcohol,4.0,5.0,4.0,0.38461538461538464,0.3076923076923077,0.5555555555555556,0.4444444444444444
allow,9.0,3.0,7.0,0.15789473684210525,0.47368421052631576,0.25,0.75
almost,14.0,5.0,10.0,0.1724137931034483,0.4827586206896552,0.2631578947368421,0.7368421052631579
along,15.0,5.0,2.0,0.22727272727272727,0.6818181818181818,0.25,0.75
alongsid,11.0,1.0,5.0,0.058823529411764705,0.6470588235294118,0.08333333333333333,0.9166666666666666
alreadi,12.0,3.0,4.0,0.15789473684210525,0.631578947368421,0.2,0.8
also,91.0,72.0,44.0,0.34782608695652173,0.4396135265700483,0.44171779141104295,0.558282208588957
altern,13.0,6.0,6.0,0.24,0.52,0.3157894736842105,0.6842105263157895
although,79.0,46.0,38.0,0.2822085889570552,0.48466257668711654,0.368,0.632
among,10.0,14.0,6.0,0.4666666666666667,0.3333333333333333,0.5833333333333334,0.4166666666666667
amount,13.0,6.0,6.0,0.24,0.52,0.3157894736842105,0.6842105263157895
analysi,16.0,5.0,11.0,0.15625,0.5,0.23809523809523808,0.7619047619047619
anecdot,9.0,5.0,1.0,0.3333333333333333,0.6,0.35714285714285715,0.6428571428571429
announc,27.0,15.0,17.0,0.2542372881355932,0.4576271186440678,0.35714285714285715,0.6428571428571429
annual,78.0,52.0,37.0,0.31137724550898205,0.46706586826347307,0.4,0.6
annualis,11.0,4.0,9.0,0.16666666666666666,0.4583333333333333,0.26666666666666666,0.7333333333333333
anoth,15.0,10.0,6.0,0.3225806451612903,0.4838709677419355,0.4,0.6
anticip,21.0,15.0,17.0,0.2830188679245283,0.39622641509433965,0.4166666666666667,0.5833333333333334
appar,19.0,12.0,4.0,0.34285714285714286,0.5428571428571428,0.3870967741935484,0.6129032258064516
appear,39.0,27.0,26.0,0.29347826086956524,0.42391304347826086,0.4090909090909091,0.5909090909090909
appreci,14.0,6.0,19.0,0.15384615384615385,0.358974358974359,0.3,0.7
april,46.0,30.0,20.0,0.3125,0.4791666666666667,0.39473684210526316,0.6052631578947368
area,9.0,7.0,4.0,0.35,0.45,0.4375,0.5625
around,75.0,57.0,43.0,0.32571428571428573,0.42857142857142855,0.4318181818181818,0.5681818181818182
arrang,34.0,33.0,14.0,0.4074074074074074,0.41975308641975306,0.4925373134328358,0.5074626865671642
