,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
therebi,1.0,2.0,0.0,1.0055749596304214e-05,1.6926155529935234e-05,1.0,0.6666666666666666,0.3333333333333333
therefor,10.0,8.0,2.0,0.0,0.0,-2.0,0.4,0.5
therein,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
thin,1.0,3.0,0.0,5.027874798152107e-06,2.5389233294902856e-05,2.0,0.75,0.25
thing,2.0,0.0,0.0,4.086925061128365e-05,0.0,-2.0,0.0,1.0
think,2.0,1.0,0.0,1.5083624394456321e-05,8.463077764967617e-06,-1.0,0.3333333333333333,0.6666666666666666
third,10.0,11.0,9.0,0.0,0.0,1.0,0.36666666666666664,0.3333333333333333
thirteen,1.0,0.0,0.0,2.7246167074189102e-05,0.0,-1.0,0.0,1.0
thirti,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
thomson,1.0,2.0,0.0,5.027874798152107e-06,1.6926155529935234e-05,1.0,0.6666666666666666,0.3333333333333333
though,16.0,9.0,18.0,0.0,0.0,-7.0,0.20930232558139536,0.37209302325581395
thought,15.0,8.0,9.0,0.0,0.0,-7.0,0.25,0.46875
threat,1.0,0.0,3.0,5.027874798152107e-06,0.0,-1.0,0.0,0.25
threaten,1.0,0.0,0.0,2.7246167074189102e-05,0.0,-1.0,0.0,1.0
three,39.0,35.0,38.0,0.0,0.0,-4.0,0.3125,0.3482142857142857
threshold,1.0,1.0,10.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333
throughout,3.0,0.0,1.0,2.5139373990760535e-05,0.0,-3.0,0.0,0.75
thu,5.0,3.0,0.0,4.0222998385216854e-05,2.5389233294902856e-05,-2.0,0.375,0.625
tick,1.0,0.0,1.0,5.027874798152107e-06,0.0,-1.0,0.0,0.5
tie,1.0,1.0,0.0,5.027874798152107e-06,8.463077764967617e-06,0.0,0.5,0.5
tier,1.0,0.0,5.0,1.0055749596304214e-05,0.0,-1.0,0.0,0.16666666666666666
tight,4.0,0.0,1.0,3.519512358706475e-05,0.0,-4.0,0.0,0.8
tighten,27.0,16.0,28.0,0.0,0.0,-11.0,0.22535211267605634,0.38028169014084506
tighter,2.0,1.0,1.0,0.0,0.0,-1.0,0.25,0.5
tightli,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
time,76.0,69.0,105.0,0.0,0.0,-7.0,0.276,0.304
tion,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
tltro,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tobin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
today,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
togeth,11.0,6.0,7.0,0.0,0.0,-5.0,0.25,0.4583333333333333
tone,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
took,3.0,4.0,2.0,0.0,0.0,1.0,0.4444444444444444,0.3333333333333333
tool,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
top,2.0,1.0,5.0,0.0,0.0,-1.0,0.125,0.25
topix,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.25
total,11.0,3.0,17.0,0.0,0.0,-8.0,0.0967741935483871,0.3548387096774194
touch,1.0,1.0,0.0,5.027874798152107e-06,8.463077764967617e-06,0.0,0.5,0.5
tourism,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
tourist,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
toward,16.0,11.0,13.0,0.0,0.0,-5.0,0.275,0.4
track,2.0,0.0,1.0,1.5083624394456321e-05,0.0,-2.0,0.0,0.6666666666666666
tradabl,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
trade,36.0,37.0,38.0,0.0,0.0,1.0,0.3333333333333333,0.32432432432432434
tradeabl,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
trader,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tradit,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
traffic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tragic,1.0,0.0,1.0,5.027874798152107e-06,0.0,-1.0,0.0,0.5
trail,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
train,1.0,0.0,1.0,5.027874798152107e-06,0.0,-1.0,0.0,0.5
transact,4.0,5.0,2.0,0.0,0.0,1.0,0.45454545454545453,0.36363636363636365
transient,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
transit,1.0,2.0,0.0,1.0055749596304214e-05,1.6926155529935234e-05,1.0,0.6666666666666666,0.3333333333333333
