,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
boost,30.0,36.0,29.0,0.0,0.0,6.0,0.37894736842105264,0.3157894736842105
bore,1.0,0.0,1.0,2.4674391034341454e-06,0.0,-1.0,0.0,0.5
born,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
borrow,27.0,28.0,20.0,0.0,0.0,1.0,0.37333333333333335,0.36
bottom,0.0,1.0,2.0,0.0,3.5070255333628336e-06,1.0,0.3333333333333333,0.0
bounc,6.0,4.0,6.0,0.0,0.0,-2.0,0.25,0.375
bounceback,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
bound,1.0,1.0,14.0,0.0,0.0,0.0,0.0625,0.0625
box,1.0,0.0,0.0,1.3371108222953856e-05,0.0,-1.0,0.0,1.0
bp,1.0,0.0,2.0,4.934878206868291e-06,0.0,-1.0,0.0,0.3333333333333333
bradley,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
brake,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
brazil,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
breach,1.0,8.0,15.0,0.0,0.0,7.0,0.3333333333333333,0.041666666666666664
breadth,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
break,0.0,1.0,2.0,0.0,3.5070255333628336e-06,1.0,0.3333333333333333,0.0
breakdown,3.0,5.0,4.0,0.0,0.0,2.0,0.4166666666666667,0.25
breakeven,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
brent,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
brexit,20.0,7.0,80.0,0.0,0.0,-13.0,0.06542056074766354,0.18691588785046728
bridg,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
brief,4.0,1.0,6.0,0.0,0.0,-3.0,0.09090909090909091,0.36363636363636365
briefli,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
bright,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
brighter,1.0,1.0,0.0,2.4674391034341454e-06,3.5070255333628336e-06,0.0,0.5,0.5
bring,25.0,26.0,16.0,0.0,0.0,1.0,0.3880597014925373,0.373134328358209
